Time(s),CH1(V),CH3(V)
-2.5000E-06,1.835584E-02,0.000000E+00
-2.4997E-06,1.835584E-02,0.000000E+00
-2.4995E-06,1.835584E-02,0.000000E+00
-2.4992E-06,1.835584E-02,4.630912E-02
-2.4990E-06,1.835584E-02,4.630912E-02
-2.4987E-06,1.835584E-02,4.630912E-02
-2.4985E-06,1.835584E-02,4.630912E-02
-2.4982E-06,1.835584E-02,4.630912E-02
-2.4980E-06,1.835584E-02,4.630912E-02
-2.4977E-06,1.835584E-02,4.630912E-02
-2.4975E-06,1.835584E-02,4.630912E-02
-2.4972E-06,1.835584E-02,4.630912E-02
-2.4970E-06,1.835584E-02,4.630912E-02
-2.4967E-06,1.835584E-02,4.630912E-02
-2.4965E-06,1.835584E-02,4.630912E-02
-2.4962E-06,1.835584E-02,4.630912E-02
-2.4960E-06,1.835584E-02,4.630912E-02
-2.4957E-06,1.835584E-02,4.630912E-02
-2.4955E-06,1.835584E-02,4.630912E-02
-2.4952E-06,1.835584E-02,4.630912E-02
-2.4950E-06,1.835584E-02,9.261823E-02
-2.4947E-06,1.835584E-02,9.261823E-02
-2.4945E-06,1.835584E-02,9.261823E-02
-2.4942E-06,1.835584E-02,9.261823E-02
-2.4940E-06,1.835584E-02,9.261823E-02
-2.4937E-06,1.835584E-02,9.261823E-02
-2.4935E-06,1.835584E-02,9.261823E-02
-2.4932E-06,1.835584E-02,9.261823E-02
-2.4930E-06,1.835584E-02,9.261823E-02
-2.4927E-06,1.835584E-02,9.261823E-02
-2.4925E-06,1.835584E-02,9.261823E-02
-2.4922E-06,1.835584E-02,9.261823E-02
-2.4920E-06,1.835584E-02,9.261823E-02
-2.4917E-06,1.835584E-02,9.261823E-02
-2.4915E-06,1.606136E-02,9.261823E-02
-2.4912E-06,1.606136E-02,9.261823E-02
-2.4910E-06,1.606136E-02,9.261823E-02
-2.4907E-06,1.606136E-02,1.389274E-01
-2.4905E-06,1.606136E-02,9.261823E-02
-2.4902E-06,1.606136E-02,1.389274E-01
-2.4900E-06,1.606136E-02,1.389274E-01
-2.4897E-06,1.606136E-02,1.389274E-01
-2.4895E-06,1.606136E-02,1.389274E-01
-2.4892E-06,1.606136E-02,1.389274E-01
