Time(s),CH1(V),CH2(V),CH3(V)
-5.0000E-06,1.388628E-02,-9.552060E-02,1.854416E-02
-4.9995E-06,1.388628E-02,0.000000E+00,1.854416E-02
-4.9990E-06,1.388628E-02,-9.552060E-02,1.854416E-02
-4.9985E-06,1.388628E-02,-9.552060E-02,1.854416E-02
-4.9980E-06,1.388628E-02,-9.552060E-02,1.854416E-02
-4.9975E-06,1.388628E-02,-9.552060E-02,1.854416E-02
-4.9970E-06,1.388628E-02,-9.552060E-02,1.854416E-02
-4.9965E-06,1.851504E-02,0.000000E+00,1.854416E-02
-4.9960E-06,1.851504E-02,0.000000E+00,1.854416E-02
-4.9955E-06,1.851504E-02,-9.552060E-02,1.854416E-02
-4.9950E-06,1.851504E-02,-9.552060E-02,1.854416E-02
-4.9945E-06,1.851504E-02,-9.552060E-02,2.318020E-02
-4.9940E-06,2.314380E-02,-9.552060E-02,2.318020E-02
-4.9935E-06,1.851504E-02,-9.552060E-02,1.854416E-02
-4.9930E-06,1.388628E-02,0.000000E+00,2.318020E-02
-4.9925E-06,1.851504E-02,0.000000E+00,2.318020E-02
-4.9920E-06,1.851504E-02,0.000000E+00,2.318020E-02
-4.9915E-06,2.314380E-02,0.000000E+00,2.781624E-02
-4.9910E-06,2.314380E-02,0.000000E+00,2.318020E-02
-4.9905E-06,1.388628E-02,0.000000E+00,1.854416E-02
-4.9900E-06,1.388628E-02,0.000000E+00,1.854416E-02
-4.9895E-06,1.851504E-02,0.000000E+00,1.854416E-02
-4.9890E-06,1.851504E-02,0.000000E+00,1.854416E-02
-4.9885E-06,1.851504E-02,-9.552060E-02,1.854416E-02
-4.9880E-06,1.851504E-02,0.000000E+00,2.318020E-02
-4.9875E-06,1.851504E-02,9.552060E-02,2.318020E-02
-4.9870E-06,2.314380E-02,9.552060E-02,2.781624E-02
-4.9865E-06,2.314380E-02,9.552060E-02,2.318020E-02
-4.9860E-06,2.314380E-02,0.000000E+00,1.854416E-02
-4.9855E-06,2.314380E-02,9.552060E-02,2.318020E-02
-4.9850E-06,1.851504E-02,9.552060E-02,2.781624E-02
-4.9845E-06,1.851504E-02,9.552060E-02,2.781624E-02
-4.9840E-06,1.388628E-02,9.552060E-02,2.781624E-02
-4.9835E-06,1.388628E-02,1.910412E-01,2.781624E-02
-4.9830E-06,1.851504E-02,1.910412E-01,2.781624E-02
-4.9825E-06,1.851504E-02,9.552060E-02,2.781624E-02
-4.9820E-06,1.851504E-02,9.552060E-02,2.318020E-02
-4.9815E-06,1.851504E-02,9.552060E-02,2.781624E-02
-4.9810E-06,1.851504E-02,9.552060E-02,2.781624E-02
-4.9805E-06,1.851504E-02,1.910412E-01,2.318020E-02
-4.9800E-06,1.851504E-02,1.910412E-01,2.318020E-02
-4.9795E-06,1.388628E-02,1.910412E-01,2.318020E-02
-4.9790E-06,1.851504E-02,1.910412E-01,2.318020E-02
-4.9785E-06,1.851504E-02,1.910412E-01,2.781624E-02
-4.9780E-06,2.314380E-02,9.552060E-02,2.781624E-02
-4.9775E-06,1.851504E-02,9.552060E-02,2.781624E-02
-4.9770E-06,1.851504E-02,1.910412E-01,2.781624E-02
-4.9765E-06,2.314380E-02,1.910412E-01,2.781624E-02
-4.9760E-06,2.314380E-02,9.552060E-02,2.781624E-02
-4.9755E-06,2.314380E-02,1.910412E-01,2.781624E-02
-4.9750E-06,2.314380E-02,1.910412E-01,2.781624E-02
-4.9745E-06,2.314380E-02,9.552060E-02,2.781624E-02
-4.9740E-06,2.314380E-02,1.910412E-01,2.781624E-02
-4.9735E-06,2.314380E-02,2.865618E-01,2.781624E-02
-4.9730E-06,2.314380E-02,1.910412E-01,3.245228E-02
-4.9725E-06,2.314380E-02,1.910412E-01,3.245228E-02
-4.9720E-06,2.314380E-02,1.910412E-01,3.245228E-02
-4.9715E-06,2.314380E-02,9.552060E-02,3.245228E-02
-4.9710E-06,2.777256E-02,1.910412E-01,3.245228E-02
-4.9705E-06,2.777256E-02,2.865618E-01,2.781624E-02
