Time(s),CH1(V),CH3(V)
-4.9780E-06,-1.385130E-01,-2.315456E-01
-4.9778E-06,-1.385130E-01,-2.315456E-01
-4.9775E-06,-9.234200E-02,-2.315456E-01
-4.9773E-06,-9.234200E-02,-2.315456E-01
-4.9770E-06,-9.234200E-02,-2.315456E-01
-4.9768E-06,-9.234200E-02,-2.315456E-01
-4.9765E-06,-9.234200E-02,-2.315456E-01
-4.9763E-06,-9.234200E-02,-1.852365E-01
-4.9760E-06,-9.234200E-02,-1.852365E-01
-4.9758E-06,-9.234200E-02,-1.852365E-01
-4.9755E-06,-1.385130E-01,-1.852365E-01
-4.9753E-06,-1.385130E-01,-1.852365E-01
-4.9750E-06,-1.385130E-01,-1.852365E-01
-4.9748E-06,-1.385130E-01,-2.315456E-01
-4.9745E-06,-9.234200E-02,-2.315456E-01
-4.9743E-06,-1.385130E-01,-2.315456E-01
-4.9740E-06,-1.385130E-01,-2.315456E-01
-4.9738E-06,-9.234200E-02,-2.315456E-01
-4.9735E-06,-9.234200E-02,-2.778547E-01
-4.9733E-06,-9.234200E-02,-2.778547E-01
-4.9730E-06,-1.385130E-01,-2.778547E-01
-4.9728E-06,-1.385130E-01,-2.778547E-01
-4.9725E-06,-1.385130E-01,-2.315456E-01
-4.9723E-06,-1.385130E-01,-2.315456E-01
-4.9720E-06,-1.385130E-01,-2.315456E-01
-4.9718E-06,-1.385130E-01,-2.315456E-01
-4.9715E-06,-1.385130E-01,-2.315456E-01
-4.9713E-06,-1.385130E-01,-2.315456E-01
-4.9710E-06,-1.385130E-01,-2.315456E-01
-4.9708E-06,-1.385130E-01,-2.315456E-01
-4.9705E-06,-1.385130E-01,-2.315456E-01
-4.9703E-06,-1.385130E-01,-2.315456E-01
-4.9700E-06,-1.385130E-01,-2.315456E-01
-4.9698E-06,-1.385130E-01,-2.315456E-01
-4.9695E-06,-1.385130E-01,-2.315456E-01
-4.9693E-06,-1.385130E-01,-2.315456E-01
-4.9690E-06,-1.385130E-01,-2.315456E-01
-4.9688E-06,-1.385130E-01,-2.315456E-01
-4.9685E-06,-1.385130E-01,-2.315456E-01
-4.9683E-06,-1.385130E-01,-2.315456E-01
-4.9680E-06,-1.385130E-01,-2.778547E-01
-4.9678E-06,-1.385130E-01,-2.778547E-01
-4.9675E-06,-1.385130E-01,-2.315456E-01
-4.9673E-06,-1.385130E-01,-2.315456E-01
-4.9670E-06,-1.385130E-01,-2.315456E-01
-4.9668E-06,-1.846840E-01,-2.315456E-01
-4.9665E-06,-1.846840E-01,-2.778547E-01
-4.9663E-06,-1.385130E-01,-2.778547E-01
-4.9660E-06,-1.385130E-01,-2.778547E-01
-4.9658E-06,-1.385130E-01,-2.778547E-01
-4.9655E-06,-1.385130E-01,-2.778547E-01
-4.9653E-06,-1.846840E-01,-2.778547E-01
-4.9650E-06,-1.385130E-01,-2.778547E-01
-4.9648E-06,-1.846840E-01,-2.778547E-01
-4.9645E-06,-1.846840E-01,-2.778547E-01
-4.9643E-06,-1.385130E-01,-2.778547E-01
-4.9640E-06,-1.846840E-01,-2.778547E-01
-4.9638E-06,-1.846840E-01,-2.778547E-01
-4.9635E-06,-1.385130E-01,-2.778547E-01
-4.9633E-06,-1.846840E-01,-2.778547E-01
-4.9630E-06,-1.846840E-01,-2.778547E-01
-4.9628E-06,-1.846840E-01,-2.778547E-01
-4.9625E-06,-1.846840E-01,-2.778547E-01
-4.9623E-06,-1.846840E-01,-2.778547E-01
