Time(s),CH1(V),CH3(V).1
-1e-05,0.0643,0.101
-1e-05,0.0643,0.101
-1e-05,0.0643,0.101
-1e-05,0.0643,0.101
-1e-05,0.0643,0.101
-1e-05,0.0734,0.101
-1e-05,0.0734,0.101
-1e-05,0.0734,0.101
-1e-05,0.0734,0.101
-1e-05,0.0734,0.11
-1e-05,0.0826,0.11
-9.99e-06,0.0826,0.101
-9.99e-06,0.0826,0.11
-9.99e-06,0.0918,0.11
-9.99e-06,0.0918,0.11
-9.99e-06,0.0918,0.101
-9.99e-06,0.101,0.11
-9.99e-06,0.101,0.101
-9.99e-06,0.101,0.101
-9.99e-06,0.11,0.101
-9.99e-06,0.11,0.101
-9.99e-06,0.11,0.101
-9.99e-06,0.11,0.101
-9.99e-06,0.11,0.101
-9.99e-06,0.11,0.101
-9.99e-06,0.119,0.101
-9.99e-06,0.11,0.101
-9.99e-06,0.11,0.101
-9.99e-06,0.11,0.101
-9.99e-06,0.11,0.101
-9.99e-06,0.11,0.101
-9.98e-06,0.11,0.101
-9.98e-06,0.11,0.101
-9.98e-06,0.11,0.101
-9.98e-06,0.11,0.101
-9.98e-06,0.101,0.101
-9.98e-06,0.101,0.101
-9.98e-06,0.101,0.101
-9.98e-06,0.101,0.101
-9.98e-06,0.101,0.101
-9.98e-06,0.0918,0.101
-9.98e-06,0.0918,0.11
-9.98e-06,0.0918,0.11
-9.98e-06,0.0826,0.11
-9.98e-06,0.0826,0.11
-9.98e-06,0.0826,0.11
-9.98e-06,0.0826,0.11
-9.98e-06,0.0826,0.11
-9.98e-06,0.0826,0.11
-9.98e-06,0.0826,0.11
-9.98e-06,0.0826,0.11
-9.97e-06,0.0826,0.11
-9.97e-06,0.0826,0.119
-9.97e-06,0.0826,0.119
-9.97e-06,0.0826,0.119
-9.97e-06,0.0826,0.119
-9.97e-06,0.0918,0.119
-9.97e-06,0.0918,0.119
-9.97e-06,0.0918,0.119
-9.97e-06,0.101,0.119
-9.97e-06,0.101,0.119
-9.97e-06,0.101,0.119
-9.97e-06,0.11,0.119
-9.97e-06,0.11,0.119
-9.97e-06,0.11,0.119
-9.97e-06,0.11,0.119
-9.97e-06,0.11,0.119
-9.97e-06,0.119,0.119
-9.97e-06,0.119,0.119
-9.97e-06,0.119,0.119
-9.97e-06,0.129,0.119
-9.96e-06,0.129,0.119
-9.96e-06,0.129,0.119
-9.96e-06,0.129,0.11
-9.96e-06,0.129,0.11
-9.96e-06,0.129,0.11
-9.96e-06,0.129,0.11
-9.96e-06,0.129,0.11
-9.96e-06,0.129,0.11
-9.96e-06,0.129,0.11
-9.96e-06,0.119,0.11
-9.96e-06,0.119,0.11
-9.96e-06,0.119,0.11
-9.96e-06,0.119,0.11
-9.96e-06,0.119,0.11
-9.96e-06,0.11,0.11
-9.96e-06,0.11,0.119
-9.96e-06,0.11,0.119
-9.96e-06,0.11,0.119
-9.96e-06,0.11,0.119
-9.96e-06,0.101,0.119
-9.95e-06,0.101,0.119
-9.95e-06,0.101,0.119
-9.95e-06,0.101,0.119
-9.95e-06,0.101,0.119
-9.95e-06,0.101,0.119
-9.95e-06,0.0918,0.128
-9.95e-06,0.0918,0.128
-9.95e-06,0.0918,0.128
-9.95e-06,0.0918,0.128
-9.95e-06,0.0918,0.138
-9.95e-06,0.101,0.138
-9.95e-06,0.101,0.138
-9.95e-06,0.101,0.138
-9.95e-06,0.101,0.138
-9.95e-06,0.11,0.128
-9.95e-06,0.101,0.138
-9.95e-06,0.11,0.138
-9.95e-06,0.11,0.138
-9.95e-06,0.11,0.138
-9.95e-06,0.11,0.138
-9.94e-06,0.119,0.138
-9.94e-06,0.119,0.138
-9.94e-06,0.129,0.138
-9.94e-06,0.129,0.138
-9.94e-06,0.129,0.138
-9.94e-06,0.129,0.138
-9.94e-06,0.138,0.138
-9.94e-06,0.138,0.138
-9.94e-06,0.138,0.128
-9.94e-06,0.138,0.128
-9.94e-06,0.138,0.128
-9.94e-06,0.138,0.128
-9.94e-06,0.138,0.128
-9.94e-06,0.147,0.128
-9.94e-06,0.138,0.128
-9.94e-06,0.138,0.128
-9.94e-06,0.138,0.128
-9.94e-06,0.138,0.128
-9.94e-06,0.138,0.128
-9.94e-06,0.138,0.128
-9.93e-06,0.138,0.128
-9.93e-06,0.138,0.128
-9.93e-06,0.129,0.128
-9.93e-06,0.129,0.128
-9.93e-06,0.129,0.128
-9.93e-06,0.129,0.128
-9.93e-06,0.129,0.138
-9.93e-06,0.119,0.138
-9.93e-06,0.119,0.138
-9.93e-06,0.119,0.138
-9.93e-06,0.119,0.138
-9.93e-06,0.119,0.138
-9.93e-06,0.11,0.138
-9.93e-06,0.11,0.138
-9.93e-06,0.11,0.147
-9.93e-06,0.11,0.147
-9.93e-06,0.11,0.147
-9.93e-06,0.11,0.138
-9.93e-06,0.11,0.147
-9.93e-06,0.11,0.147
-9.92e-06,0.11,0.147
-9.92e-06,0.11,0.147
-9.92e-06,0.119,0.147
-9.92e-06,0.119,0.147
-9.92e-06,0.119,0.147
-9.92e-06,0.119,0.147
-9.92e-06,0.119,0.147
-9.92e-06,0.129,0.147
-9.92e-06,0.129,0.147
-9.92e-06,0.129,0.147
-9.92e-06,0.138,0.147
-9.92e-06,0.138,0.147
-9.92e-06,0.138,0.147
-9.92e-06,0.147,0.147
-9.92e-06,0.147,0.147
-9.92e-06,0.147,0.147
-9.92e-06,0.147,0.147
-9.92e-06,0.147,0.147
-9.92e-06,0.156,0.147
-9.92e-06,0.156,0.147
-9.91e-06,0.156,0.147
-9.91e-06,0.156,0.147
-9.91e-06,0.156,0.138
-9.91e-06,0.156,0.138
-9.91e-06,0.156,0.138
-9.91e-06,0.156,0.138
-9.91e-06,0.156,0.138
-9.91e-06,0.147,0.138
-9.91e-06,0.156,0.138
-9.91e-06,0.156,0.138
-9.91e-06,0.147,0.147
-9.91e-06,0.147,0.147
-9.91e-06,0.147,0.147
-9.91e-06,0.147,0.147
-9.91e-06,0.138,0.147
-9.91e-06,0.138,0.147
-9.91e-06,0.138,0.147
-9.91e-06,0.129,0.147
-9.91e-06,0.129,0.147
-9.91e-06,0.129,0.147
-9.9e-06,0.129,0.147
-9.9e-06,0.119,0.147
-9.9e-06,0.129,0.156
-9.9e-06,0.119,0.156
-9.9e-06,0.119,0.156
-9.9e-06,0.119,0.156
-9.9e-06,0.119,0.165
-9.9e-06,0.119,0.165
-9.9e-06,0.129,0.165
-9.9e-06,0.129,0.165
-9.9e-06,0.129,0.165
-9.9e-06,0.129,0.165
-9.9e-06,0.129,0.165
-9.9e-06,0.138,0.165
-9.9e-06,0.138,0.165
-9.9e-06,0.138,0.165
-9.9e-06,0.138,0.165
-9.9e-06,0.147,0.165
-9.9e-06,0.147,0.165
-9.9e-06,0.147,0.165
-9.89e-06,0.147,0.165
-9.89e-06,0.156,0.165
-9.89e-06,0.156,0.165
-9.89e-06,0.165,0.165
-9.89e-06,0.165,0.156
-9.89e-06,0.165,0.156
-9.89e-06,0.165,0.156
-9.89e-06,0.165,0.156
-9.89e-06,0.165,0.156
-9.89e-06,0.174,0.156
-9.89e-06,0.174,0.156
-9.89e-06,0.174,0.156
-9.89e-06,0.174,0.156
-9.89e-06,0.174,0.156
-9.89e-06,0.174,0.156
-9.89e-06,0.165,0.156
-9.89e-06,0.165,0.156
-9.89e-06,0.165,0.156
-9.89e-06,0.165,0.156
-9.89e-06,0.165,0.156
-9.88e-06,0.165,0.156
-9.88e-06,0.156,0.156
-9.88e-06,0.156,0.156
-9.88e-06,0.147,0.156
-9.88e-06,0.147,0.165
-9.88e-06,0.147,0.165
-9.88e-06,0.147,0.165
-9.88e-06,0.147,0.165
-9.88e-06,0.138,0.165
-9.88e-06,0.138,0.165
-9.88e-06,0.138,0.165
-9.88e-06,0.138,0.165
-9.88e-06,0.138,0.165
-9.88e-06,0.138,0.174
-9.88e-06,0.138,0.174
-9.88e-06,0.138,0.174
-9.88e-06,0.138,0.174
-9.88e-06,0.138,0.174
-9.88e-06,0.138,0.174
-9.88e-06,0.138,0.174
-9.87e-06,0.138,0.174
-9.87e-06,0.147,0.184
-9.87e-06,0.147,0.174
-9.87e-06,0.147,0.174
-9.87e-06,0.156,0.184
-9.87e-06,0.156,0.184
-9.87e-06,0.156,0.184
-9.87e-06,0.165,0.184
-9.87e-06,0.165,0.184
-9.87e-06,0.165,0.174
-9.87e-06,0.174,0.174
-9.87e-06,0.174,0.174
-9.87e-06,0.174,0.174
-9.87e-06,0.174,0.174
-9.87e-06,0.184,0.174
-9.87e-06,0.184,0.174
-9.87e-06,0.184,0.174
-9.87e-06,0.184,0.174
-9.87e-06,0.184,0.174
-9.87e-06,0.184,0.174
-9.86e-06,0.184,0.174
-9.86e-06,0.184,0.174
-9.86e-06,0.184,0.165
-9.86e-06,0.184,0.165
-9.86e-06,0.184,0.165
-9.86e-06,0.184,0.165
-9.86e-06,0.184,0.165
-9.86e-06,0.174,0.174
-9.86e-06,0.174,0.174
-9.86e-06,0.174,0.174
-9.86e-06,0.174,0.174
-9.86e-06,0.174,0.174
-9.86e-06,0.165,0.174
-9.86e-06,0.165,0.174
-9.86e-06,0.165,0.174
-9.86e-06,0.156,0.174
-9.86e-06,0.156,0.174
-9.86e-06,0.156,0.184
-9.86e-06,0.156,0.184
-9.86e-06,0.156,0.184
-9.85e-06,0.156,0.184
-9.85e-06,0.156,0.184
-9.85e-06,0.147,0.184
-9.85e-06,0.147,0.193
-9.85e-06,0.147,0.193
-9.85e-06,0.147,0.193
-9.85e-06,0.156,0.193
-9.85e-06,0.156,0.193
-9.85e-06,0.156,0.193
-9.85e-06,0.156,0.193
-9.85e-06,0.156,0.193
-9.85e-06,0.165,0.193
-9.85e-06,0.165,0.193
-9.85e-06,0.165,0.193
-9.85e-06,0.165,0.193
-9.85e-06,0.174,0.193
-9.85e-06,0.174,0.193
-9.85e-06,0.174,0.193
-9.85e-06,0.184,0.193
-9.85e-06,0.184,0.193
-9.84e-06,0.184,0.193
-9.84e-06,0.184,0.193
-9.84e-06,0.193,0.193
-9.84e-06,0.193,0.193
-9.84e-06,0.193,0.193
-9.84e-06,0.202,0.184
-9.84e-06,0.202,0.184
